title,price_gbp,rating,in_stock,category,price_inr
It's Only the Himalayas,0.0,2,True,Travel,0.0
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,0.0,4,True,Travel,0.0
See America: A Celebration of Our National Parks & Treasured Sites,0.0,3,True,Travel,0.0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,0.0,2,True,Travel,0.0
Under the Tuscan Sun,0.0,3,True,Travel,0.0
A Summer In Europe,0.0,2,True,Travel,0.0
The Great Railway Bazaar,0.0,1,True,Travel,0.0
A Year in Provence (Provence #1),0.0,4,True,Travel,0.0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),0.0,1,True,Travel,0.0
Neither Here nor There: Travels in Europe,0.0,3,True,Travel,0.0
"1,000 Places to See Before You Die",0.0,5,True,Travel,0.0
Sharp Objects,0.0,4,True,Mystery,0.0
"In a Dark, Dark Wood",0.0,1,True,Mystery,0.0
The Past Never Ends,0.0,4,True,Mystery,0.0
A Murder in Time,0.0,1,True,Mystery,0.0
The Murder of Roger Ackroyd (Hercule Poirot #4),0.0,4,True,Mystery,0.0
The Last Mile (Amos Decker #2),0.0,2,True,Mystery,0.0
That Darkness (Gardiner and Renner #1),0.0,1,True,Mystery,0.0
Tastes Like Fear (DI Marnie Rome #3),0.0,1,True,Mystery,0.0
A Time of Torment (Charlie Parker #14),0.0,5,True,Mystery,0.0
A Study in Scarlet (Sherlock Holmes #1),0.0,2,True,Mystery,0.0
Poisonous (Max Revere Novels #3),0.0,3,True,Mystery,0.0
Murder at the 42nd Street Library (Raymond Ambler #1),0.0,4,True,Mystery,0.0
Most Wanted,0.0,3,True,Mystery,0.0
Hide Away (Eve Duncan #20),0.0,1,True,Mystery,0.0
Boar Island (Anna Pigeon #19),0.0,3,True,Mystery,0.0
The Widow,0.0,2,True,Mystery,0.0
Playing with Fire,0.0,3,True,Mystery,0.0
What Happened on Beale Street (Secrets of the South Mysteries #2),0.0,5,True,Mystery,0.0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),0.0,5,True,Mystery,0.0
Delivering the Truth (Quaker Midwife Mystery #1),0.0,4,True,Mystery,0.0
The Mysterious Affair at Styles (Hercule Poirot #1),0.0,4,True,Mystery,0.0
In the Woods (Dublin Murder Squad #1),0.0,2,True,Mystery,0.0
The Silkworm (Cormoran Strike #2),0.0,5,True,Mystery,0.0
The Exiled,0.0,3,True,Mystery,0.0
The Cuckoo's Calling (Cormoran Strike #1),0.0,1,True,Mystery,0.0
Extreme Prey (Lucas Davenport #26),0.0,3,True,Mystery,0.0
Career of Evil (Cormoran Strike #3),0.0,2,True,Mystery,0.0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),0.0,4,True,Mystery,0.0
The Girl You Lost,0.0,5,True,Mystery,0.0
The Girl In The Ice (DCI Erika Foster #1),0.0,3,True,Mystery,0.0
Blood Defense (Samantha Brinkman #1),0.0,3,True,Mystery,0.0
1st to Die (Women's Murder Club #1),0.0,1,True,Mystery,0.0
Tipping the Velvet,0.0,1,True,Historical Fiction,0.0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,0.0,3,True,Historical Fiction,0.0
A Flight of Arrows (The Pathfinders #2),0.0,5,True,Historical Fiction,0.0
The House by the Lake,0.0,1,True,Historical Fiction,0.0
Mrs. Houdini,0.0,5,True,Historical Fiction,0.0
The Marriage of Opposites,0.0,4,True,Historical Fiction,0.0
Glory over Everything: Beyond The Kitchen House,0.0,3,True,Historical Fiction,0.0
"Love, Lies and Spies",0.0,2,True,Historical Fiction,0.0
A Paris Apartment,0.0,4,True,Historical Fiction,0.0
Lilac Girls,0.0,2,True,Historical Fiction,0.0
The Constant Princess (The Tudor Court #1),0.0,3,True,Historical Fiction,0.0
The Invention of Wings,0.0,1,True,Historical Fiction,0.0
World Without End (The Pillars of the Earth #2),0.0,4,True,Historical Fiction,0.0
The Passion of Dolssa,0.0,5,True,Historical Fiction,0.0
Girl With a Pearl Earring,0.0,1,True,Historical Fiction,0.0
Voyager (Outlander #3),0.0,5,True,Historical Fiction,0.0
The Red Tent,0.0,5,True,Historical Fiction,0.0
The Last Painting of Sara de Vos,0.0,2,True,Historical Fiction,0.0
The Guernsey Literary and Potato Peel Pie Society,0.0,1,True,Historical Fiction,0.0
Girl in the Blue Coat,0.0,2,True,Historical Fiction,0.0
Between Shades of Gray,0.0,5,True,Historical Fiction,0.0
While You Were Mine,0.0,5,True,Historical Fiction,0.0
The Secret Healer,0.0,3,True,Historical Fiction,0.0
Starlark,0.0,3,True,Historical Fiction,0.0
Lost Among the Living,0.0,4,True,Historical Fiction,0.0
A Spy's Devotion (The Regency Spies of London #1),0.0,5,True,Historical Fiction,0.0
