category_name,title,price_gbp,price_inr,rating,in_stock,pandas_match
Travel,"1,000 Places to See Before You Die",0.0,0.0,5,1,True
Mystery,A Time of Torment (Charlie Parker #14),0.0,0.0,5,1,True
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),0.0,0.0,5,1,True
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),0.0,0.0,5,1,True
Mystery,The Silkworm (Cormoran Strike #2),0.0,0.0,5,1,True
Mystery,The Girl You Lost,0.0,0.0,5,1,True
Historical Fiction,A Flight of Arrows (The Pathfinders #2),0.0,0.0,5,1,True
Historical Fiction,Mrs. Houdini,0.0,0.0,5,1,True
Historical Fiction,The Passion of Dolssa,0.0,0.0,5,1,True
Historical Fiction,Voyager (Outlander #3),0.0,0.0,5,1,True
