title,price_gbp,rating,in_stock
"1,000 Places to See Before You Die",0.0,5,1
A Time of Torment (Charlie Parker #14),0.0,5,1
What Happened on Beale Street (Secrets of the South Mysteries #2),0.0,5,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),0.0,5,1
The Silkworm (Cormoran Strike #2),0.0,5,1
The Girl You Lost,0.0,5,1
A Flight of Arrows (The Pathfinders #2),0.0,5,1
Mrs. Houdini,0.0,5,1
The Passion of Dolssa,0.0,5,1
Voyager (Outlander #3),0.0,5,1
The Red Tent,0.0,5,1
Between Shades of Gray,0.0,5,1
While You Were Mine,0.0,5,1
A Spy's Devotion (The Regency Spies of London #1),0.0,5,1
